bert_score,candidate_id,is_same_group,target,eq_clean,level_idx,goal_clean,exercise_id,Base_Lift,Exercise_Name,Sex,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg
0.0012776070507243,1546,0,0,Machine,3,Powerbuilding,1546,Best3BenchKg,Low Cable Fly,F,33.0,58.3,80.0,60.0,107.5
0.0012763147242367,1440,0,0,Machine,0,Bodybuilding,1440,Best3DeadliftKg,Lat Pullover,F,43.0,73.1,105.0,67.5,110.0
0.0017775751184672,2733,0,0,Machine,0,Athletics,2733,Best3DeadliftKg,Super ROM Overhead Cable Row,M,15.5,67.4,100.0,62.5,105.0
0.0013001292245462,2731,0,0,Dumbbell,0,Athletics,2731,Best3DeadliftKg,Super ROM Lateral Dumbbell Raise,M,35.0,66.65,137.5,122.5,170.0
0.0012458693236112,1075,0,0,Barbell,1,Athletics,1075,Best3BenchKg,Half Kneeling Landmine Press,M,26.5,72.45,90.0,50.0,125.0
0.0011546073947101,1134,1,0,Dumbbell,2,Powerbuilding,1134,Best3DeadliftKg,Heavy Lateral Raise,M,15.5,78.8,100.0,60.0,115.0
0.001266311854124,2577,1,0,Dumbbell,2,Powerlifting,2577,Best3DeadliftKg,Snatch (Dumbbell),M,57.5,79.65,180.0,100.0,55.0
0.0012415299424901,185,0,0,Bodyweight,2,Muscle & Sculpting,185,Cardio_Core,B-Skips,F,26.0,96.5,100.0,47.5,140.0
0.001285366830416,2703,0,0,Barbell,2,Powerlifting,2703,Best3DeadliftKg,Straight Leg Deadlift,M,31.5,102.55,232.5,160.0,260.0
0.0011467280564829,1472,0,0,Dumbbell,0,Muscle & Sculpting,1472,Best3DeadliftKg,Lateral Raise (Seated),F,35.0,53.6,80.0,50.0,92.5
0.0013308721827343,206,1,0,Machine,2,Athletics,206,Cardio_Core,Band Assisted Pogo Jumps,M,32.0,94.1,205.0,145.0,250.0
0.0014006835408508,249,0,0,Bodyweight,0,Powerlifting,249,Cardio_Core,Banded Hip Flexor Marches,M,32.0,107.8,230.0,175.0,250.0
0.0013784766197204,1592,1,0,Bodyweight,2,Bodybuilding,1592,Best3BenchKg,Lying Leg Raise,M,43.5,98.75,210.0,162.5,260.0
0.0012760562822222,495,0,0,Machine,0,Powerlifting,495,Best3DeadliftKg,Cable Rotational Twists,M,41.0,100.2,190.0,120.0,200.0
0.0025271649938076,2479,0,0,Machine,0,Bodybuilding,2479,Best3DeadliftKg,Single Leg Seated Hamstring Curl,F,31.0,55.6,100.0,55.0,145.0
0.001434659352526,2140,0,0,Bodyweight,0,Powerbuilding,2140,Best3DeadliftKg,Ring Lat Pull,M,33.0,72.5,140.0,135.0,240.0
0.0013975601177662,2302,0,0,Machine,1,Bodybuilding,2302,Best3DeadliftKg,Seated Or Lying Hamstring Curl (Swap This Out For Either),M,18.0,81.5,192.5,115.0,210.0
0.0012096265563741,2408,1,0,Dumbbell,2,Powerlifting,2408,Best3DeadliftKg,Single Arm Kettlebell Swing,M,29.0,86.5,175.0,132.5,192.5
0.0012146631488576,2542,0,0,Machine,0,Bodybuilding,2542,Best3BenchKg,Sled Push,M,38.0,90.0,212.5,127.5,250.0
0.0014020872768014,2806,0,0,Barbell,0,Powerbuilding,2806,Cardio_Core,Trap Bar Farmers Walk,M,37.0,88.0,190.0,190.0,200.0
0.0012169508263468,2556,1,0,Machine,2,Bodybuilding,2556,Best3SquatKg,Smith Hack Squat,M,15.0,105.0,160.0,100.0,190.0
0.0014567598700523,1390,1,0,Machine,2,Athletics,1390,Best3DeadliftKg,Kneeling Leg Curl,M,26.0,103.0,245.0,160.0,285.0
0.0012537820730358,1170,1,0,Bodyweight,2,Athletics,1170,Best3SquatKg,High Step Up,M,26.0,109.0,242.5,180.0,300.0
0.001260193879716,138,0,0,Bodyweight,0,Bodybuilding,138,Best3SquatKg,Adduction,M,36.0,128.0,240.0,200.0,260.0
0.0016565424157306,2263,1,1,Machine,2,Bodybuilding,2263,Best3SquatKg,Seated Calf Raise,F,30.0,57.6,102.5,57.5,137.5
0.0011860220693051,1515,1,0,Bodyweight,2,Bodybuilding,1515,Best3BenchKg,Leg Raise Floor,F,32.5,66.8,130.0,60.0,195.0
0.0014361984794959,2079,0,0,Machine,0,Muscle & Sculpting,2079,Best3DeadliftKg,Reverse Fly (Machine),F,17.0,87.0,140.0,65.0,162.5
0.0012802943820133,2272,1,1,Dumbbell,2,Bodybuilding,2272,Best3DeadliftKg,Seated Dumbbell Curl,M,18.5,62.9,165.0,85.0,160.0
0.0012847643811255,1366,0,0,Dumbbell,3,Muscle & Sculpting,1366,Best3DeadliftKg,Kettlebell Power Row,M,25.5,66.5,202.5,110.0,210.0
0.001227289554663,523,1,0,Machine,2,Powerlifting,523,Best3SquatKg,Calf Press (Leg Press Machine),M,18.5,70.2,155.0,85.0,170.0
0.0013492609141394,1335,1,0,Bodyweight,2,Bodyweight Fitness,1335,Cardio_Core,Jog,M,22.5,72.3,140.0,115.0,150.0
0.0012206457322463,2637,1,0,Barbell,2,Bodybuilding,2637,Best3BenchKg,Standing Behind Neck Shoulder Press (Barbell),M,33.0,72.5,140.0,130.0,230.0
0.0013860031031072,2703,1,0,Barbell,2,Powerlifting,2703,Best3DeadliftKg,Straight Leg Deadlift,M,23.0,77.4,215.0,140.0,275.0
0.0017002563690766,1127,1,0,Bodyweight,2,Bodybuilding,1127,Cardio_Core,Hanging Toes To Bar,M,23.0,77.4,215.0,140.0,275.0
0.0016542775556445,2556,1,0,Machine,2,Bodybuilding,2556,Best3SquatKg,Smith Hack Squat,M,46.5,81.9,200.0,130.0,215.0
0.0015584474895149,1022,0,0,Bodyweight,0,Bodybuilding,1022,Cardio_Core,Ghd Sit Up,M,42.0,76.0,180.0,180.0,170.0
0.0012002425501123,2150,0,0,Bodyweight,0,Powerbuilding,2150,Best3BenchKg,Ring Rear Delt Flies,M,18.0,81.6,180.0,107.5,190.0
0.0011310101253911,1354,0,0,Dumbbell,2,Fitness,1354,Best3DeadliftKg,Kelso Shrug/Incline Row,M,37.0,88.0,195.0,185.0,260.0
0.0012323793489485,2808,0,0,Barbell,0,Athletics,2808,Cardio_Core,Trap Bar Jumps,M,28.0,86.2,172.5,130.0,180.0
0.0012927635107189,2151,0,0,Bodyweight,0,Powerbuilding,2151,Best3DeadliftKg,Ring Row,M,15.0,105.0,160.0,92.5,172.5
0.0015913421520963,2169,1,1,Barbell,2,Bodybuilding,2169,Best3DeadliftKg,Romanian Deadlift (Barbell),M,26.0,109.0,230.0,180.0,290.0
0.001328676007688,297,0,0,Bodyweight,0,Powerbuilding,297,Cardio_Core,Bear Craw Isometric Hold,M,26.0,102.8,220.0,140.0,285.0
0.0011783201480284,240,0,0,Bodyweight,1,Muscle & Sculpting,240,Cardio_Core,Banded Deadbug,M,36.0,128.4,240.0,190.0,280.0
0.0014237035065889,1898,0,0,Barbell,0,Muscle & Sculpting,1898,Cardio_Core,"Posterior Chain (Band Good Mornings, Bodyweight Hyperextensions, Etc.)",M,18.5,74.1,205.0,117.5,240.0
0.0012177721364423,340,0,0,Dumbbell,2,Powerbuilding,340,Best3BenchKg,Bench Press Pause (Dumbbell),M,18.5,74.1,205.0,117.5,240.0
0.0013201157562434,2127,0,0,Machine,0,Bodybuilding,2127,Best3DeadliftKg,Reverse-Grip Pulldowns,M,23.0,81.8,230.0,160.0,260.0
0.0013532736338675,1206,1,0,Bodyweight,2,Athletics,1206,Best3SquatKg,Hip Thrust (Bodyweight),M,23.0,81.8,230.0,160.0,260.0
0.0015377189265564,2567,0,0,Machine,2,Powerbuilding,2567,Best3DeadliftKg,Smith Machine Shrugs,F,21.0,60.8,85.0,50.0,110.0
0.0013544672401621,1283,1,0,Dumbbell,2,Bodybuilding,1283,Best3BenchKg,Incline Hybrid DB Fly,F,44.0,55.2,102.5,50.0,130.0
0.0016270218184217,1071,1,0,Machine,2,Powerlifting,1071,Best3SquatKg,Hack Squat Calf Raise,F,37.0,69.4,147.5,75.0,200.0
0.0019418861484155,1471,1,0,Machine,2,Bodybuilding,1471,Best3DeadliftKg,Lateral Raise (Machine),M,23.0,74.2,190.0,117.5,225.0
0.0016094758175313,1593,0,0,Machine,0,Powerbuilding,1593,Best3BenchKg,Lying Overhead Tricep Extension (barbell),M,20.0,80.4,210.0,147.5,230.0
0.0013398041483014,2619,0,0,Barbell,0,Powerbuilding,2619,Best3SquatKg,Squat Pin Presses,M,23.0,89.5,280.0,185.0,285.0
0.0016356116393581,1853,0,0,Bodyweight,0,Bodybuilding,1853,Best3SquatKg,Pistol Squat To Box,M,33.0,61.5,75.0,50.0,95.0
0.0012544649653136,2479,0,0,Machine,0,Bodybuilding,2479,Best3DeadliftKg,Single Leg Seated Hamstring Curl,M,27.0,79.9,230.0,180.0,255.0
0.0021293750032782,1476,0,0,Dumbbell,0,Powerbuilding,1476,Best3DeadliftKg,Lateral Raise Seated,M,27.0,89.5,297.5,195.0,327.5
0.0012143662897869,2759,1,0,Machine,2,Powerbuilding,2759,Best3DeadliftKg,TRX Row,M,23.0,89.5,280.0,185.0,285.0
0.0011635974515229,1063,0,0,Barbell,1,Bodybuilding,1063,Best3BenchKg,Guillotine Press,M,32.0,88.7,255.0,160.0,320.0
0.0015419028932228,840,0,0,Dumbbell,0,Powerbuilding,840,Best3DeadliftKg,Dumbbell Swing,M,25.0,87.5,207.5,120.0,250.0
0.0012952004326507,2266,0,0,Dumbbell,0,Powerbuilding,2266,Best3BenchKg,Seated DB Shoulder Press,M,40.0,123.1,275.0,175.0,300.0
0.0012318865628913,1687,1,0,Bodyweight,2,Bodybuilding,1687,Best3DeadliftKg,Muscle Up,M,17.0,89.5,190.0,110.0,225.0
0.0016632943879812,2872,0,1,Dumbbell,0,Muscle & Sculpting,2872,Best3DeadliftKg,Unilateral Preacher Curl,M,14.0,82.2,150.0,92.5,185.0
0.0012391082709655,2373,0,0,Bodyweight,0,Bodybuilding,2373,Cardio_Core,Side Crunch,M,18.0,60.9,100.0,55.0,125.0
0.0013014614814892,2639,1,0,Machine,2,Muscle & Sculpting,2639,Best3SquatKg,Standing Cable Hip Abduction,F,11.0,56.0,45.0,28.0,80.5
0.0013346987543627,2703,1,0,Barbell,2,Powerlifting,2703,Best3DeadliftKg,Straight Leg Deadlift,F,31.0,54.3,105.0,55.0,147.5
0.0018386675510555,1905,1,0,Barbell,2,Bodybuilding,1905,Best3DeadliftKg,Power Shrug,F,22.0,58.7,145.0,82.5,160.0
0.0011745359515771,653,0,0,Machine,0,Powerlifting,653,Cardio_Core,Converging Machine Press (Anterior Delt),F,21.0,59.5,110.0,57.5,120.0
0.0014757739845663,1061,0,0,Bodyweight,2,Fitness,1061,Cardio_Core,Ground Starts 10 Yards,F,33.5,67.5,132.5,65.0,200.0
0.0014173402450978,2294,1,0,Machine,2,Powerlifting,2294,Best3DeadliftKg,Seated Leg Curl (Cable),M,23.0,74.3,165.0,125.0,180.0
0.0013306363252922,2220,0,0,Barbell,3,Muscle & Sculpting,2220,Best3DeadliftKg,Sandbag Clean,M,26.5,70.5,195.0,117.5,210.0
0.0014210542431101,2185,0,0,Dumbbell,1,Bodybuilding,2185,Best3DeadliftKg,Rotating Bicep Curl,M,29.0,72.9,190.0,135.0,215.0
